原材料名,個,大さじ,小さじ,カップ,合,升,切れ,片,丁,本,束,枚,尾,杯
ホールトマト缶,,,,,,,,,,,,,,
トマトジュース,,,,,,,,,,,,,,
トレビス,,,,,,,,,,,,,,
とんぶり,,,,,,,,,,,,,,
長崎白菜,,,,,,,,,,,,,,
ナス,,,,,,,,,,,,,,
米ナス,,,,,,,,,,,,,,
なずな,,,,,,,,,,,,,,
菜花,,,,,,,,,,,,,,
ゴーヤ,,,,,,,,,,250,,,,
にら,,,,,,,,,,,100,,,
人参,,,,,,,,,,170,,,,
人参グラッセ,,,,,,,,,,,,,,
人参ジュース,,,,,,,,,,,,,,
葉ニンニク,,,,,,,,,,,,,,
ねぎ,,,,,,,,,,100,,,,
葉ねぎ,,,,,,,,,,,,,,
小ネギ,,,,,,,,,,7,55,,,
野沢菜,,,,,,,,,,,,,,
野沢菜漬,,,,,,,,,,,,,,
のびる,,,,,,,,,,,,,,
白菜,2000,,,,,,,,,,,,,
白菜漬,,,,,,,,,,,,,,
キムチ,,,,,,,,,,,,,,
パクチー,,,,,,,,,,,,,,
バジル,,,,,,,,,,,,,,
パセリ,,,,,,,,,,,,,,
二十日大根,,,,,,,,,,,,,,
はやとうり,,,,,,,,,,,,,,
ビーツ,,,,,,,,,,,,,,
ピーマン,35,,,,,,,,,,,,,
赤ピーマン,150,,,,,,,,,,,,,
黄ピーマン,150,,,,,,,,,,,,,
トマピー,,,,,,,,,,,,,,
日野菜,,,,,,,,,,,,,,
広島菜,,,,,,,,,,,,,,
ふき,,,,,,,,,,,,,,
ふきのとう,,,,,,,,,,,,,,
藤豆,,,,,,,,,,,,,,
フダンソウ,,,,,,,,,,,,,,
ブロッコリー,200,,,,,,,,,,,,,
へちま,,,,,,,,,,,,,,
ほうれん草,,,,,,,,,,,200,,,
ホースラディシュ,,,,,,,,,,,,,,
まこも,,,,,,,,,,,,,,
水かけ菜,,,,,,,,,,,,,,
水菜,,,,,,,,,,,200,,,
三つ葉,,,,,,,,,,,,,,
壬生菜,,,,,,,,,,,,,,
みょうが,,,,,,,,,,,,,,
みょうがたけ,,,,,,,,,,,,,,
むかご,,,,,,,,,,,,,,
芽キャベツ,,,,,,,,,,,,,,
めたで,,,,,,,,,,,,,,
もやし,250,,,,,,,,,,,,,
ブラックマッペもやし,250,,,,,,,,,,,,,
緑豆もやし,250,,,,,,,,,,,,,
モロヘイヤ,,,,,,,,,,,,,,
やまごぼう(みそ漬),,,,,,,,,,,,,,
ゆりね,,,,,,,,,,,,,,
ヨウサイ,,,,,,,,,,,,,,
ヨメナ,,,,,,,,,,,,,,
落花生,,,,,,,,,,,,,,
らっきょう,,,,,,,,,,,,,,
エシャロット,,,,,,,,,,,,,,
リーキ,,,,,,,,,,,,,,
ルッコラ,,,,,,,,,,,,,,
ルバーブ,,,,,,,,,,,,,,
レタス,300,,,,,,,,,,,,,
サラダ菜,300,,,,,,,,,,,,,
リーフレタス,300,,,,,,,,,,,,,
サニーレタス,300,,,,,,,,,,,,,
サンチュ,,,,,,,,,,,,,,
コスレタス,,,,,,,,,,,,,,
レンコン,180,,,,,,,,,,,,,
わけぎ,,,,,,,,,,,,,,
ワサビ,,,,,,,,,,,,,,
わさび漬,,,,,,,,,,,,,,
わらび,,,,,,,,,,,,,,
あけび,,,,,,,,,,,,,,
アセロラ,,,,,,,,,,,,,,
アテモヤ,,,,,,,,,,,,,,
アボカド,,,,,,,,,,,,,,
あんず,,,,,,,,,,,,,,
あんず(乾),,,,,,,,,,,,,,
あんずジャム,,,,,,,,,,,,,,
いちご,,,,,,,,,,,,,,
いちごジャム,,,,,,,,,,,,,,
ドライいちご,,,,,,,,,,,,,,
いちじく(生),,,,,,,,,,,,,,
いちじく(乾),,,,,,,,,,,,,,
梅干し,,,,,,,,,,,,,,
グリーンオリーブ,,,,,,,,,,,,,,
オリーブ,,,,,,,,,,,,,,
スタッフドオリーブ,,,,,,,,,,,,,,
柿,150,,,,,,,,,,,,,
干し柿,,,,,,,,,,,,,,
かりん,,,,,,,,,,,,,,
伊予柑,,,,,,,,,,,,,,
温州みかん,100,,,,,,,,,,,,,
オレンジ,250,,,,,,,,,,,,,
マーマレード,,,,,,,,,,,,,,
オロブランコ,,,,,,,,,,,,,,
かぼす,,,,,,,,,,,,,,
河内晩柑,,,,,,,,,,,,,,
清見,,,,,,,,,,,,,,
金柑,,,,,,,,,,,,,,
グレープフルーツ,400,,,,,,,,,,,,,
三宝柑,,,,,,,,,,,,,,
シークヮーサー,,,,,,,,,,,,,,
不知火,,,,,,,,,,,,,,
すだち,,,,,,,,,,,,,,
せとか,,,,,,,,,,,,,,
セミノール,,,,,,,,,,,,,,
だいだい,,,,,,,,,,,,,,
夏みかん,,,,,,,,,,,,,,
八朔,,,,,,,,,,,,,,
はるみ,,,,,,,,,,,,,,
日向夏,,,,,,,,,,,,,,
文旦,,,,,,,,,,,,,,
ポンカン,,,,,,,,,,,,,,
ゆず,,,,,,,,,,,,,,
ライム,,,,,,,,,,,,,,
レモン,150,,,,,,,,,,,,,
キウイ,120,,,,,,,,,,,,,
キワノ,,,,,,,,,,,,,,
グァバ,,,,,,,,,,,,,,
グーズベリー,,,,,,,,,,,,,,
ぐみ,,,,,,,,,,,,,,
ココナッツウォーター,,,,,,,,,,,,,,
