原材料名,個,大さじ,小さじ,カップ,合,升,切れ,片,丁,本,束,枚,尾,杯
チキンナゲット,,,,,,,,,,,,,,
鶏つくね,,,,,,,,,,,,,,
イナゴ佃煮,,,,,,,,,,,,,,
カエル肉,,,,,,,,,,,,,,
スッポン,,,,,,,,,,,,,,
ハチノコ,,,,,,,,,,,,,,
ピータン,,,,,,,,,,,,,,
烏骨鶏卵,,,,,,,,,,,,,,
うずら卵,,,,,,,,,,,,,,
鶏卵,,,,,,,,,,,,,,
卵,,,,,,,,,,,,,,
ポーチドエッグ,,,,,,,,,,,,,,
卵黄,,,,,,,,,,,,,,
卵白,,,,,,,,,,,,,,
たまご豆腐,,,,,,,,,,,,,,
牛乳,,15,5,210,,,,,,,,,,
脱脂粉乳,,6,2,90,,,,,,,,,,
無糖練乳,,,,,,,,,,,,,,
加糖練乳,,,,,,,,,,,,,,
生クリーム,,,,,,,,,,,,,,
ホイップクリーム,,,,,,,,,,,,,,
コーヒーフレッシュ,,,,,,,,,,,,,,
ヨーグルト,,15,5,210,,,,,,,,,,
ナチュラルチーズ,,9,3,110,,,,,,,,,,
チーズ,,9,3,110,,,,,,,,,,
カマンベールチーズ,,,,,,,,,,,,,,
クリームチーズ,,,,,,,,,,,,,,
ゴーダチーズ,,,,,,,,,,,,,,
チェダーチーズ,,,,,,,,,,,,,,
パルメザンチーズ,,6,2,80,,,,,,,,,,
ブルーチーズ,,,,,,,,,,,,,,
マスカルポーネチーズ,,,,,,,,,,,,,,
モッツァレラチーズ,,,,,,,,,,,,,,
リコッタチーズ,,,,,,,,,,,,,,
プロセスチーズ,,,,,,,,,,,,,,
アイスクリーム,,,,,,,,,,,,,,
ソフトクリーム,,,,,,,,,,,,,,
カゼイン,,,,,,,,,,,,,,
シャーベット,,,,,,,,,,,,,,
ホエーパウダー,,,,,,,,,,,,,,
ヤギ乳,,,,,,,,,,,,,,
アマニ油,,12,4,180,,,,,,,,,,
エゴマ油,,12,4,180,,,,,,,,,,
オリーブ油,,12,4,180,,,,,,,,,,
ごま油,,12,4,180,,,,,,,,,,
米ぬか油,,12,4,180,,,,,,,,,,
大豆油,,12,4,180,,,,,,,,,,
とうもろこし油,,12,4,180,,,,,,,,,,
なたね油,,12,4,180,,,,,,,,,,
パーム油,,12,4,180,,,,,,,,,,
サラダ油,,12,4,180,,,,,,,,,,
ぶどう油,,12,4,180,,,,,,,,,,
綿実油,,12,4,180,,,,,,,,,,
やし油,,12,4,180,,,,,,,,,,
落花生油,,12,4,180,,,,,,,,,,
牛脂,,,,,,,,,,,,,,
ラード,,,,,,,,,,,,,,
バター(有塩),,12,4,180,,,,,,,,,,
バター(無塩),,12,4,180,,,,,,,,,,
発酵バター,,,,,,,,,,,,,,
マーガリン,,,,,,,,,,,,,,
ファットスプレッド,,,,,,,,,,,,,,
ショートニング,,,,,,,,,,,,,,
甘納豆(あずき),,,,,,,,,,,,,,
甘納豆(いんげんまめ),,,,,,,,,,,,,,
甘納豆(えんどう),,,,,,,,,,,,,,
今川焼,,,,,,,,,,,,,,
ういろう,,,,,,,,,,,,,,
うぐいす餅,,,,,,,,,,,,,,
柏餅,,,,,,,,,,,,,,
カステラ,,,,,,,,,,,,,,
カルカン,,,,,,,,,,,,,,
きび団子,,,,,,,,,,,,,,
ぎゅうひ,,,,,,,,,,,,,,
きんつば,,,,,,,,,,,,,,
草餅,,,,,,,,,,,,,,
みたらし団子,,,,,,,,,,,,,,
くず餅,,,,,,,,,,,,,,
五平餅,,,,,,,,,,,,,,
桜餅,,,,,,,,,,,,,,
笹団子,,,,,,,,,,,,,,
大福,,,,,,,,,,,,,,
ちまき,,,,,,,,,,,,,,
どら焼き,,,,,,,,,,,,,,
生八橋,,,,,,,,,,,,,,
ねりきり,,,,,,,,,,,,,,
カステラまんじゅう,,,,,,,,,,,,,,
葛まんじゅう,,,,,,,,,,,,,,
栗まんじゅう,,,,,,,,,,,,,,
唐まんじゅう,,,,,,,,,,,,,,
蒸し饅頭,,,,,,,,,,,,,,
あんまん,,,,,,,,,,,,,,
肉まん,,,,,,,,,,,,,,
もなか,,,,,,,,,,,,,,
ゆべし,,,,,,,,,,,,,,
練り羊羹,,,,,,,,,,,,,,
水羊羹,,,,,,,,,,,,,,
蒸し羊羹,,,,,,,,,,,,,,
芋かりんとう,,,,,,,,,,,,,,
おこし,,,,,,,,,,,,,,
おのろけ豆,,,,,,,,,,,,,,
かりんとう,,,,,,,,,,,,,,
清酒,,15,5,200,,,,,,,,,,
純米酒,,15,5,200,,,,,,,,,,
吟醸酒,,15,5,200,,,,,,,,,,
ビール,,,,,,,,,,,,,,
発泡酒,,15,5,200,,,,,,,,,,
白ワイン,,15,5,200,,,,,,,,,,
赤ワイン,,15,5,200,,,,,,,,,,
ロゼワイン,,15,5,200,,,,,,,,,,
紹興酒,,15,5,200,,,,,,,,,,
焼酎,,,,,,,,,,,,,,
ウィスキー,,,,,,,,,,,,,,
ブランデー,,,,,,,,,,,,,,
ウォッカ,,,,,,,,,,,,,,
ジン,,,,,,,,,,,,,,
ラム,,,,,,,,,,,,,,
マオタイ酒,,15,5,200,,,,,,,,,,
梅酒,,15,5,200,,,,,,,,,,
本みりん,,18,6,230,,,,,,,,,,
キュラソー,,,,,,,,,,,,,,
スイートワイン,,,,,,,,,,,,,,
ペパーミント酒,,15,5,200,,,,,,,,,,
ベルモット酒,,15,5,200,,,,,,,,,,
緑茶,,,,,,,,,,,,,,
抹茶,,,,,,,,,,,,,,
煎茶,,,,,,,,,,,,,,
番茶,,,,,,,,,,,,,,
ほうじ茶,,,,,,,,,,,,,,
玄米茶,,,,,,,,,,,,,,
烏龍茶,,,,,,,,,,,,,,
紅茶,,,,,,,,,,,,,,
コーヒー,,,,,,,,,,,,,,
インスタントコーヒー,,6,2,60,,,,,,,,,,
ココア,,,,,,,,,,,,,,
ミルクココア,,,,,,,,,,,,,,
青汁,,,,,,,,,,,,,,
甘酒,,,,,,,,,,,,,,
昆布茶,,12,4,160,,,,,,,,,,
スポーツドリンク,,,,,,,,,,,,,,
コーラ,,,,,,,,,,,,,,
サイダー,,,,,,,,,,,,,,
麦茶,,,,,,,,,,,,,,
ウスターソース,,18,6,240,,,,,,,,,,
中濃ソース,,18,6,240,,,,,,,,,,
お好み焼きソース,,18,6,240,,,,,,,,,,
豆板醤,,14,5,,,,,,,,,,,
チリペッパーソース,,18,6,,,,,,,,,,,
ラー油,,9,3,,,,,,,,,,,
醤油,,18,6,230,,,,,,,,,,
薄口醤油,,18,6,230,,,,,,,,,,
たまり醤油,,18,6,230,,,,,,,,,,
白醤油,,18,6,230,,,,,,,,,,
だし醤油,,18,6,230,,,,,,,,,,
食塩,,18,6,240,,,,,,,,,,
並塩,,15,5,200,,,,,,,,,,
精製塩,,18,6,230,,,,,,,,,,
黒酢,,15,5,200,,,,,,,,,,
穀物酢,,15,5,200,,,,,,,,,,
米酢,,15,5,200,,,,,,,,,,
バルサミコ酢,,15,5,200,,,,,,,,,,
ぶどう酢,,15,5,200,,,,,,,,,,
リンゴ酢,,15,5,200,,,,,,,,,,
鰹だし,,,,,,,,,,,,,,
昆布だし,,,,,,,,,,,,,,
椎茸だし,,,,,,,,,,,,,,
煮干しだし,,,,,,,,,,,,,,
鶏ガラ,,,,,,,,,,,,,,
中華だし,,,,,,,,,,,,,,
コンソメ,5,8,3,130,,,,,,,,,,
おでんだし,,,,,,,,,,,,,,
めんつゆ(ストレート),,18,6,230,,,,,,,,,,
めんつゆ(3倍濃縮),,21,7,240,,,,,,,,,,
甘酢,,,,,,,,,,,,,,
オイスターソース,,18,6,230,,,,,,,,,,
黄身酢,,,,,,,,,,,,,,
ごま酢,,,,,,,,,,,,,,
ごまダレ,,,,,,,,,,,,,,
三杯酢,,,,,,,,,,,,,,
二杯酢,,,,,,,,,,,,,,
すし酢,,,,,,,,,,,,,,
デミグラスソース,,,,,,,,,,,,,,
甜麺醤,,18,6,230,,,,,,,,,,
ナンプラー,,,,,,,,,,,,,,
ホワイトソース,,,,,,,,,,,,,,
ポン酢しょうゆ,,,,,,,,,,,,,,
ミートソース,,,,,,,,,,,,,,
焼き鳥のタレ,,,,,,,,,,,,,,
柚子こしょう,,,,,,,,,,,,,,
トマトピューレ,,15,5,210,,,,,,,,,,
トマトペースト,,15,5,210,,,,,,,,,,
ケチャップ,,15,5,230,,,,,,,,,,
トマトソース,,18,6,220,,,,,,,,,,
チリソース,,18,6,,,,,,,,,,,
フレンチドレッシング,,17,5,,,,,,,,,,,
和風ドレッシング,,17,5,,,,,,,,,,,
胡麻ドレッシング,,17,5,,,,,,,,,,,
サウザンアイランドドレッシング,,17,5,,,,,,,,,,,
マヨネーズ,,12,4,190,,,,,,,,,,
米味噌,,18,6,230,,,,,,,,,,
麦味噌,,18,6,230,,,,,,,,,,
豆味噌,,18,6,230,,,,,,,,,,
減塩味噌,,18,6,230,,,,,,,,,,
合わせ味噌,,18,6,230,,,,,,,,,,
辛子酢味噌,,,,,,,,,,,,,,
胡麻味噌,,,,,,,,,,,,,,
酢味噌,,,,,,,,,,,,,,
練り味噌,,,,,,,,,,,,,,
カレールウ,,,,,,,,,,,,,,
ハヤシルウ,,,,,,,,,,,,,,
酒かす,,15,5,,,,,,,,,,,
みりん風調味料,,18,6,230,,,,,,,,,,
オールスパイス,,,,,,,,,,,,,,
オニオンパウダー,,,,,,,,,,,,,,
和からし(粉),,,,,,,,,,,,,,
和からし(練り),,,,,,,,,,,,,,
マスタード,,18,6,,,,,,,,,,,
粒入りマスタード,,18,6,,,,,,,,,,,
カレー粉,,6,2,80,,,,,,,,,,
クローブ,,,,,,,,,,,,,,
黒コショウ,,,,,,,,,,,,,,
白コショウ,,,,,,,,,,,,,,
山椒,,,,,,,,,,,,,,
シナモン,,,,,,,,,,,,,,
おろし生姜,,10,5,,,,,10,,,,,,
セージ,,,,,,,,,,,,,,
タイム,,,,,,,,,,,,,,
チリパウダー,,,,,,,,,,,,,,
唐辛子粉,,6,2,80,,,,,,,,,,
ナツメグ,,,,,,,,,,,,,,
ガーリックパウダー,,,,,,,,,,,,,,
おろしニンニク,,10,5,,,,,,,,,,,
バジル(乾),,,,,,,,,,,,,,
パセリ(乾),,,,,,,,,,,,,,
パプリカ(乾),,,,,,,,,,,,,,
わさび(粉),,6,2,80,,,,,,,,,,
わさび(練り),,,,,,,,,,,,,,
パン酵母(圧搾),,,,,,,,,,,,,,
パン酵母(乾燥),,,,,,,,,,,,,,
天ぷら用バッター,,,,,,,,,,,,,,
ベーキングパウダー,,12,4,150,,,,,,,,,,
ビーフカレー(レトルトパウチ),,,,,,,,,,,,,,
コーンクリームスープ(粉),,,,,,,,,,,,,,
コーンクリームスープ(レトルト),,,,,,,,,,,,,,
ビーフカレー(レトルト),,,,,,,,,,,,,,
水,,15,5,200,,,,,,,,,,
