name,calorie,protein,lipid,carbohydrate,salt
みょうがたけ,7,0.4,0.1,1.5,Tr
むかご,93,2.9,0.2,20.6,3
芽キャベツ,49,5.3,0.1,9.8,5
めたで,43,3.0,0.5,8.8,9
もやし,37,3.7,1.5,2.3,3
ブラックマッペもやし,15,2.0,Tr,2.7,6
緑豆もやし,14,1.7,0.1,2.6,2
モロヘイヤ,38,4.8,0.5,6.3,1
やまごぼう(みそ漬)　　　,72,4.1,0.1,15.6,2800
ゆりね,126,3.4,0.1,28.7,1
ヨウサイ,21,2.2,0.1,4.1,16
ヨメナ,46,3.4,0.2,10.0,2
落花生,288,11.9,23.5,12.3,2
らっきょう,115,0.7,0.2,29.0,860
エシャロット,76,2.3,0.2,17.8,2
リーキ,28,1.3,0.1,6.8,2
ルッコラ,19,1.9,0.4,3.1,14
ルバーブ,18,0.5,0.1,4.6,1
レタス,12,0.6,0.1,2.8,2
サラダ菜,14,1.0,0.2,2.7,6
リーフレタス,16,1.4,0.1,3.3,6
サニーレタス,16,1.2,0.2,3.2,4
サンチュ,15,1.2,0.4,2.5,3
コスレタス,17,1.2,0.2,3.4,16
レンコン,66,1.9,0.1,15.5,24
わけぎ,29,1.9,0,6.9,1
ワサビ,88,5.6,0.2,18.4,24
わさび漬　　　,145,7.1,0.5,28.0,1000
わらび,15,1.5,0.1,3.0,Tr
あけび,82,0.5,0.1,22.0,Tr
アセロラ,36,0.7,0.1,9.0,7
アテモヤ,79,1.8,0.4,19.4,4
アボカド,187,2.5,18.7,6.2,7
あんず,36,1.0,0.3,8.5,2
あんず(乾),288,9.2,0.4,70.4,15
あんずジャム,232,0.3,0.1,64.9,10
いちご,34,0.9,0.1,8.5,Tr
いちごジャム,236,0.4,0.1,63.3,6
ドライいちご,302,0.5,0.2,82.8,260
いちじく(生),54,0.6,0.1,14.3,2
いちじく(乾),291,3.0,1.1,75.3,93
梅干し,33,0.9,0.2,10.5,8700
グリーンオリーブ　　,145,1.0,15.0,4.5,1400
オリーブ,118,0.8,12.3,3.4,640
スタッフドオリーブ　　,137,0.8,14.3,4.2,2000
柿,60,0.4,0.2,15.9,1
干し柿,276,1.5,1.7,71.3,4
かりん,68,0.4,0.1,18.3,2
伊予柑,46,0.9,0.1,11.8,2
温州みかん,45,0.5,0.1,11.9,1
オレンジ,46,0.9,0.1,11.8,1
マーマレード,235,0.2,0.1,63.2,11
オロブランコ,40,0.8,0.1,10.1,1
かぼす,25,0.4,0.1,8.5,1
河内晩柑,35,0.7,0.2,8.8,1
清見,41,0.8,0.2,10.3,1
金柑,71,0.5,0.7,17.5,2
グレープフルーツ,38,0.9,0.1,9.6,1
三宝柑,44,0.7,0.3,10.9,2
シークヮーサー,25,0.8,0.1,7.9,2
不知火,51,0.8,0.2,12.9,Tr
すだち,68,1.8,0.3,16.4,1
せとか,47,0.8,0.2,11.7,1
セミノール,49,1.1,0.1,12.4,2
だいだい,24,0.3,0.2,8.0,1
夏みかん,40,0.9,0.1,10.0,1
八朔,45,0.8,0.1,11.5,1
はるみ,48,0.9,0.2,12.1,0
日向夏,45,0.6,0.1,11.7,1
文旦,38,0.7,0.1,9.8,1
ポンカン,40,0.9,0.1,9.9,1
ゆず,59,1.2,0.5,14.2,5
ライム,27,0.4,0.1,9.3,1
レモン,54,0.9,0.7,12.5,4
キウイ,53,1.0,0.1,13.5,2
キワノ,41,1.5,0.9,8.0,2
グァバ,38,0.6,0.1,9.9,3
グーズベリー,52,1.0,0.1,13.2,1
ぐみ,68,1.3,0.2,17.2,2
ココナッツウォーター　　　,20,0.2,0.1,5.0,11
ココナッツミルク　　　,150,1.9,16.0,2.8,12
ナタデココ　　　,73,0,Tr,20.2,2
さくらんぼ,60,1.0,0.2,15.2,1
ざくろ,56,0.2,Tr,15.5,1
すいか,37,0.6,0.1,9.5,1
スターフルーツ,30,0.7,0.1,7.5,1
すもも,44,0.6,1.0,9.4,1
プルーン(生),49,0.7,0.1,12.6,1
プルーン(乾),235,2.5,0.2,62.4,1
チェリモヤ,78,1.3,0.3,19.8,8
ドラゴンフルーツ,50,1.4,0.3,11.8,Tr
ドリアン,133,2.3,3.3,27.1,Tr
梨,43,0.3,0.1,11.3,Tr
洋梨,54,0.3,0.1,14.4,Tr
なつめ,287,3.9,2.0,71.4,3
なつめやし,266,2.2,0.2,71.3,Tr
パインアップル,51,0.6,0.1,13.4,Tr
パイナップルジュース,41,0.3,0.1,11.0,1
ハスカップ,53,0.7,0.6,12.8,Tr
パッションフルーツ,64,0.8,0.4,16.2,5
バナナ,86,1.1,0.2,22.5,Tr
ドライバナナ,299,3.8,0.4,78.5,1
パパイヤ,38,0.5,0.2,9.5,6
びわ,40,0.3,0.1,10.6,1
ぶどう,59,0.4,0.1,15.7,1
干しぶどう,301,2.7,0.2,80.7,12
ぶどうジャム,193,0.5,0.1,47.5,18
ブルーベリー,49,0.5,0.1,12.9,1
ブルーベリージャム,181,0.7,0.3,43.8,1
ホワイトサポテ,74,1.5,0.1,18.9,Tr
マクワ瓜,32,0.8,0.1,7.8,1
マルメロ,56,0.3,0.1,15.1,1
マンゴー,64,0.6,0.1,16.9,1
マンゴスチン,67,0.6,0.2,17.5,1
メロン,42,1.1,0.1,10.3,7
桃,40,0.6,0.1,10.2,1
ネクター,48,0.2,0.1,11.6,3
ネクタリン,43,0.7,0.3,10.7,1
ヤマモモ,44,0.5,0.2,11.3,4
ライチ,63,1.0,0.1,16.4,Tr
ラズベリー,41,1.1,0.1,10.2,1
竜眼,283,5.1,0.4,72.9,2
りんご,57,0.1,0.2,15.5,Tr
りんごジュース,44,0.2,0.1,11.8,3
りんごジャム,213,0.2,0.1,52.7,7
エノキダケ,22,2.7,0.2,7.6,2
アラゲキクラゲ,171,6.9,0.7,77.0,46
キクラゲ,167,7.9,2.1,71.1,59
黒あわび茸,19,3.7,0.4,4.9,3
椎茸,19,3.0,0.3,5.7,1
椎茸(乾),182,19.3,3.7,63.4,6
しめじ,15,2.6,0.3,4.5,4
ぶなしめじ,18,2.7,0.6,5.0,3
ほんしめじ,12,2.5,0.4,2.8,1
タモギダケ,16,3.6,0.3,3.7,1
なめこ,15,1.7,0.2,5.2,3
ヌメリスギダケ,15,2.3,0.4,4.1,1
ウスヒラケ,23,6.1,0.2,4.8,1
エリンギ,19,2.8,0.4,6.0,2
ヒラタケ,20,3.3,0.3,6.2,2
舞茸,15,2.0,0.5,4.4,0
マッシュルーム,11,2.9,0.3,2.1,6
松茸,23,2.0,0.6,8.2,2
柳松茸,13,2.4,0.1,4.0,1
あおさ,130,22.1,0.6,41.7,3900
青のり,164,29.4,5.2,41.0,3200
あま海苔,173,39.4,3.7,38.7,610
焼き海苔,188,41.4,3.7,44.3,530
味付け海苔,359,40.0,3.5,41.8,1700
あらめ,140,12.4,0.7,56.2,2300
岩海苔,151,34.8,0.7,39.1,2100
海ぶどう,4,0.5,0.1,1.2,330
エゴノリ,143,9.0,0.1,62.2,2400
オゴノリ,21,1.3,0.1,8.8,130
川海苔,167,38.1,1.6,41.7,85
昆布,142,7.9,0.5,62.1,3000
刻み昆布,105,5.4,0.5,46.0,4300
削り昆布,117,6.5,0.9,50.2,2100
塩昆布,110,16.9,0.4,37.0,7100
水前寺のり,7,1.5,Tr,2.1,5
てんぐさ,144,16.1,1.0,53.8,1900
ところてん,2,0.2,0,0.6,3
角寒天,154,2.4,0.2,74.1,130
寒天,3,Tr,Tr,1.5,2
粉寒天,165,0.2,0.3,81.7,170
とさかのり,14,1.5,0.1,5.1,270
ひじき,149,9.2,3.2,58.4,1800
ヒトエグサ,130,16.6,1.0,46.3,4500
布海苔,148,13.8,1.0,57.8,2700
まつも,159,27.9,4.9,40.8,1300
むかでのり,10,0.6,0.1,4.2,220
もずく,4,0.2,0.1,1.4,90
わかめ,117,13.6,1.6,41.3,6600
茎わかめ,15,1.1,0.3,5.5,3100
めかぶ,11,0.9,0.6,3.4,170
アイナメ,113,19.1,3.4,0.1,150
アコウダイ,93,16.8,2.3,0.1,75
マアジ,126,19.7,4.5,0.1,130
マルアジ,147,22.1,5.6,0.2,59
ニシマアジ,169,19.6,9.1,0.1,160
ムロアジ,166,23.6,6.9,0.4,56
くさや,240,49.9,3.0,0.3,1600
アナゴ,161,17.3,9.3,Tr,150
アマダイ,113,18.8,3.6,Tr,73
アユ,119,22.5,2.6,Tr,110
アカウオ,105,17.2,3.4,0.1,81
アンコウ,58,13.0,0.2,0.3,130
あん肝,445,10.0,41.9,2.2,110
イカナゴ,125,17.2,5.5,0.1,190
イサキ,127,17.2,5.7,0.1,160
イシダイ,156,19.5,7.8,Tr,54
イトヨリダイ,93,18.1,1.7,0.1,85
イボダイ,149,16.4,8.5,Tr,190
ウルメイワシ,136,21.3,4.8,0.3,95
カタクチイワシ,192,18.2,12.1,0.3,85
マイワシ,169,19.2,9.2,0.2,81
メザシ,257,18.2,18.9,0.5,1100
しらす,76,15.0,1.3,0.1,380
タタミイワシ,372,75.1,5.6,0.7,850
アンチョビ,158,24.2,6.8,0.1,5200
イワナ,114,19.0,3.6,0.1,49
ウグイ,100,20.1,1.5,0.2,83
ウナギ,255,17.1,19.3,0.3,74
うなぎ(肝),118,13.0,5.3,3.5,140
ウマヅラハギ,80,18.2,0.3,Tr,210
エイ,84,19.1,0.3,0.1,270
エソ,93,20.1,0.8,0.1,120
オイカワ,136,19.2,5.8,0.1,48
オオサガ,144,16.3,8.0,0.1,71
オコゼ,85,19.6,0.2,0.2,85
オヒョウ,100,19.9,1.7,0.1,72
カサゴ,85,19.3,0.3,0.1,120
カジカ,111,15.0,5.0,0.2,110
クロカジキ,99,22.9,0.2,0.1,70
マカジキ,115,23.1,1.8,0.1,65
メカジキ,153,19.2,7.6,0.1,71
カツオ,114,25.8,0.5,0.1,43
ソウダガツオ,136,25.7,2.8,0.3,81
なまり節,173,38.0,1.1,0.5,95
かつお節,356,77.1,2.9,0.8,130
かます,148,18.9,7.2,0.1,120
マガレイ,95,19.6,1.3,0.1,110
マコガレイ,93,18.0,1.8,0.1,120
子持ちがガレイ,143,19.9,6.2,0.1,77
カワハギ,80,18.8,0.1,Tr,110
カンパチ,129,21.0,4.2,0.1,65
キス,80,18.5,0.2,0,100
キチジ,262,13.6,21.7,Tr,75
キビナゴ,93,18.8,1.4,0.1,150
キャビア,263,26.2,17.1,1.1,1600
キングフリップ,78,18.2,0.1,Tr,140
ギンダラ,232,13.6,18.6,Tr,74
キンメダイ,160,17.8,9.0,0.1,59
グチ,83,18.0,0.8,Tr,95
コイ,171,17.7,10.2,0.2,49
マゴチ,100,22.5,0.5,0.2,110
メゴチ,75,17.5,0.1,0.1,160
コノシロ,160,19.0,8.3,0.4,160
カラフトマス,154,21.7,6.6,0.1,64
ギンザケ,204,19.6,12.8,0.3,48
サクラマス,161,20.9,7.7,0.1,53
鮭,133,22.3,4.1,0.1,66
イクラ,272,32.6,15.6,0.2,910
スジコ,282,30.5,17.4,0.9,1900
ニジマス,224,21.4,14.2,0.1,64
ベニザケ,138,22.5,4.5,0.1,57
キングサーモン,200,19.5,12.5,Tr,38
マサバ,247,20.6,16.8,0.3,110
ゴマサバ,146,23.0,5.1,0.3,66
塩サバ,291,26.2,19.1,0.1,720
アブラツノザメ,159,16.8,9.4,Tr,100
