name,calorie,protein,lipid,carbohydrate,salt
ドライソーセージ,497,25.4,43.0,2.1,1400
フランクフルト,298,12.7,24.7,6.2,740
ボロニアソーセージ,251,12.5,21.0,2.9,830
リオナソーセージ,192,14.9,13.1,3.7,910
レバーソーセージ,368,14.7,33.5,1.9,650
ソーセージ,270,11.8,22.7,4.7,850
焼豚,172,19.4,8.2,5.1,930
マトン,225,19.8,15.0,0.2,62
ラム,233,17.1,17.1,0.1,70
ヤギ肉,107,21.9,1.5,0.2,45
うずら肉,208,20.5,12.9,0.1,35
フォアグラ,510,8.3,49.9,1.5,44
真鴨,128,23.6,3.0,0.1,72
合鴨,333,14.2,29.0,0.1,62
アヒル肉,250,14.9,19.8,0.1,67
キジ肉,108,23.0,1.1,0.1,38
七面鳥,106,23.5,0.7,0.1,37
鶏手羽肉,195,23.0,10.4,0,44
鶏胸肉,244,19.5,17.2,0,31
鶏もも肉,253,17.3,19.1,0,42
鶏ささみ,114,24.6,1.1,0,40
鶏手羽先,226,17.4,16.2,0,78
鶏手羽元,197,18.2,12.8,0,80
鶏ミンチ,186,17.5,12.0,0,55
鶏ハツ,207,14.5,15.5,Tr,85
鶏レバー,111,18.9,3.1,0.6,85
鶏砂肝,94,18.3,1.8,Tr,55
鶏軟骨,54,12.5,0.4,0.4,390
チキンナゲット,245,15.5,13.7,14.9,630
鶏つくね,235,15.2,15.2,9.3,720
イナゴ佃煮,247,26.3,1.4,32.3,1900
カエル肉,99,22.3,0.4,0.3,33
スッポン,197,16.4,13.4,0.5,69
ハチノコ,250,16.2,7.2,30.2,680
ピータン,214,13.7,16.5,0,780
烏骨鶏卵,176,12.0,13.0,0.4,140
うずら卵,179,12.6,13.1,0.3,130
鶏卵,151,12.3,10.3,0.3,140
ポーチドエッグ,164,12.3,11.7,0.2,110
卵黄,387,16.5,33.5,0.1,48
卵白,47,10.5,Tr,0.4,180
たまご豆腐,79,6.4,5.0,2.0,370
牛乳,80,3.6,5.1,4.7,55
脱脂粉乳,359,34.0,1.0,53.3,570
無糖練乳,144,6.8,7.9,11.2,140
加糖練乳,332,7.7,8.5,56.0,96
生クリーム,433,2.0,45.0,3.1,27
ホイップクリーム,413,4.0,38.4,12.9,130
コーヒーフレッシュ,228,4.8,21.6,3.7,160
ヨーグルト,62,3.6,3.0,4.9,48
ナチュラルチーズ,356,28.9,25.0,1.4,780
カマンベールチーズ,310,19.1,24.7,0.9,800
クリームチーズ,346,8.2,33.0,2.3,260
ゴーダチーズ,380,25.8,29.0,1.4,800
チェダーチーズ,423,25.7,33.8,1.4,800
パルメザンチーズ,475,44.0,30.8,1.9,1500
ブルーチーズ,349,18.8,29.0,1.0,1500
マスカルポーネチーズ,293,4.4,28.2,4.3,35
モッツァレラチーズ,276,18.4,19.9,4.2,70
リコッタチーズ,162,7.1,11.5,6.7,160
プロセスチーズ,339,22.7,26.0,1.3,1100
アイスクリーム,180,3.9,8.0,23.2,110
ソフトクリーム,146,3.8,5.6,20.1,65
カゼイン,378,86.2,1.5,0,10
シャーベット,127,0.9,1.0,28.7,13
ホエーパウダー,362,12.5,1.2,77.0,690
ヤギ乳,63,3.1,3.6,4.5,35
アマニ油,921,0,100.0,0,0
エゴマ油,921,0,100.0,0,Tr
オリーブ油,921,0,100.0,0,Tr
ごま油,921,0,100.0,0,Tr
米ぬか油,921,0,100.0,0,0
大豆油,921,0,100.0,0,0
とうもろこし油,921,0,100.0,0,0
なたね油,921,0,100.0,0,0
パーム油,921,0,100.0,0,0
サラダ油,921,0,100.0,0,0
ぶどう油,921,0,100.0,0,0
綿実油,921,0,100.0,0,0
やし油,921,0,100.0,0,0
落花生油,921,0,100.0,0,0
牛脂,940,0.2,99.8,0,1
ラード,941,0,100.0,0,0
バター(有塩),745,0.6,81.0,0.2,750
バター(無塩),763,0.5,83.0,0.2,11
発酵バター,752,0.6,80.0,4.4,510
マーガリン,769,0.4,83.1,0.4,500
ファットスプレッド,637,0.2,69.1,0,420
ショートニング,920,0,99.9,0,0
甘納豆(あずき)　　　,296,5.6,0.6,67.1,45
甘納豆(いんげんまめ),302,5.5,1.1,67.6,67
甘納豆(えんどう),310,5.2,1.0,70.1,88
今川焼,221,4.5,1.0,48.5,59
ういろう,183,1.1,0.2,44.1,1
うぐいす餅,241,3.6,0.4,55.7,36
柏餅,206,4.0,0.4,46.7,55
カステラ,319,6.2,4.6,63.2,54
カルカン,230,2.1,0.3,54.7,2
きび団子,304,1.7,0.3,73.5,1
ぎゅうひ,257,1.3,0.2,62.5,1
きんつば,265,6.0,0.7,58.6,130
草餅,229,4.2,0.4,52.1,17
みたらし団子,197,3.1,0.4,45.2,250
くず餅,91,0.1,0.1,22.5,1
五平餅,181,3.0,0.5,41.0,230
桜餅,239,4.5,0.4,54.3,45
笹団子,239,3.9,0.5,54.7,26
大福,235,4.8,0.5,52.8,46
ちまき,153,1.3,0.2,36.4,1
どら焼き,284,6.6,2.5,58.7,140
生八橋,279,4.5,0.4,64.3,18
ねりきり,264,5.3,0.3,60.1,2
カステラまんじゅう,294,6.6,1.6,63.4,44
葛まんじゅう,220,3.1,0.2,51.4,45
栗まんじゅう,309,6.0,1.3,68.2,25
唐まんじゅう,297,6.2,2.1,63.4,24
蒸し饅頭,260,4.9,0.4,59.2,63
あんまん,280,6.1,5.7,51.1,11
肉まん,260,10.0,5.1,43.5,460
もなか,285,4.8,0.4,65.6,2
ゆべし,327,2.4,3.5,71.2,230
練り羊羹,296,3.6,0.2,70.0,3
水羊羹,171,2.6,0.1,40.0,57
蒸し羊羹,242,4.4,0.3,55.4,83
芋かりんとう,476,1.4,20.5,71.3,13
おこし,383,3.8,0.8,90.1,95
おのろけ豆,448,11.7,13.5,69.8,390
かりんとう,440,7.6,11.6,76.3,7
清酒,109,0.4,Tr,4.9,2
純米酒,103,0.4,Tr,3.6,4
吟醸酒,104,0.3,0,3.6,2
ビール,40,0.3,0,3.1,3
発泡酒,45,0.1,0,3.6,1
白ワイン,73,0.1,Tr,2.0,3
赤ワイン,73,0.2,Tr,1.5,2
ロゼワイン,77,0.1,Tr,4.0,4
紹興酒,127,1.7,Tr,5.1,15
焼酎,206,0,0,0,-
ウィスキー,237,0,0,0,2
ブランデー,237,0,0,0,4
ウォッカ,240,0,0,Tr,Tr
ジン,284,0,Tr,0.1,Tr
ラム,240,0,Tr,0.1,3
マオタイ酒,322,0,0,0,Tr
梅酒,156,0.1,Tr,20.7,4
本みりん,241,0.3,Tr,43.2,3
キュラソー,322,Tr,Tr,26.4,1
スイートワイン,133,0.1,0,13.4,5
ペパーミント酒,302,0,0,37.6,4
ベルモット酒,152,0.1,0,16.4,4
緑茶,329,29.1,4.1,43.9,11
抹茶,324,29.6,5.3,39.5,6
煎茶,331,24.5,4.7,47.7,3
番茶,0,Tr,0,0.1,2
ほうじ茶,0,Tr,0,0.1,1
玄米茶,0,0,0,0,2
烏龍茶,0,Tr,0,0.1,1
紅茶,311,20.3,2.5,51.7,3
コーヒー,4,0.2,Tr,0.7,1
インスタントコーヒー,288,14.7,0.3,56.5,32
ココア,271,18.5,21.6,42.4,16
ミルクココア,412,7.4,6.8,80.4,270
青汁,375,13.8,4.4,70.2,230
甘酒,81,1.7,0.1,18.3,60
昆布茶,98,5.7,0.4,42.3,19000
スポーツドリンク,21,0,Tr,5.1,31
コーラ,46,0.1,Tr,11.4,2
サイダー,41,Tr,Tr,10.2,4
麦茶,1,Tr,0,0.3,1
ウスターソース,117,1.0,0.1,26.8,3300
中濃ソース,132,0.8,0.1,30.8,2300
お好み焼きソース,148,1.6,0.1,34.3,2000
豆板醤,60,2.0,2.3,7.9,7000
チリペッパーソース,55,0.7,0.5,5.2,630
ラー油,919,0.1,99.8,Tr,Tr
濃口醤油,71,7.7,0,10.1,5700
薄口醤油,54,5.7,0,7.8,6300
たまり醤油,111,11.8,0,15.9,5100
白醤油,87,2.5,0,19.2,5600
だし醤油,37,4.0,0,5.2,2900
食塩,0,0,0,0,39000
並塩,0,0,0,0,38000
精製塩,0,0,0,0,39000
黒酢,54,1.0,0,9.0,10
穀物酢,25,0.1,0,2.4,6
米酢,46,0.2,0,7.4,12
バルサミコ酢,99,0.5,0,19.4,29
ぶどう酢,22,0.1,Tr,1.2,4
リンゴ酢,26,0.1,0,2.4,18
鰹だし,3,0.5,0.1,Tr,20
昆布だし,4,0.1,Tr,0.9,61
椎茸だし,4,0.1,0,0.9,3
煮干しだし,1,0.1,0.1,Tr,38
鶏ガラ,7,1.1,0.2,Tr,30
中華だし,3,0.8,0,Tr,20
コンソメ,6,1.3,0,0.3,180
おでんだし,168,9.6,0.1,32.2,22000
めんつゆ(ストレート),44,2.2,0,8.7,1300
めんつゆ(3倍濃縮),98,4.5,0,20.0,3900
甘酢,125,0.1,0,28.4,470
オイスターソース,107,7.7,0.3,18.3,4500
黄身酢,230,6.5,13.0,20.3,2300
ごま酢,217,4.0,8.0,30.2,680
ごまダレ,285,7.4,14.1,30.1,1700
三杯酢,86,0.9,0,18.1,780
二杯酢,57,3.5,0,8.6,2500
すし酢,107,0.1,0,23.8,3400
デミグラスソース,82,2.9,3.0,11.0,520
甜麺醤,256,8.5,7.7,38.1,2900
ナンプラー,48,9.1,0.1,2.7,9000
ホワイトソース,99,1.8,6.2,9.2,380
ポン酢しょうゆ,47,3.4,0.1,8.2,2300
ミートソース,101,3.8,5.0,10.1,610
焼き鳥のタレ,169,4.3,2.2,33.1,3300
柚子こしょう,49,1.3,0.8,9.3,9900
トマトピューレ,41,1.9,0.1,9.9,19
トマトペースト,89,3.8,0.1,22.0,55
ケチャップ,119,1.7,Tr,27.4,1300
トマトソース,44,2.0,0.2,8.5,240
チリソース,115,1.8,0.1,26.3,1200
フレンチドレッシング,406,0.1,41.9,5.9,1200
和風ドレッシング,198,2.2,18.4,5.1,1500
胡麻ドレッシング,360,8.5,26.3,21.2,1100
サウザンアイランドドレッシング,416,1.0,41.4,9.2,1400
マヨネーズ,703,1.5,75.3,4.5,690
米味噌,217,9.7,3.0,37.9,2400
麦味噌,198,9.7,4.3,30.0,4200
豆味噌,217,17.2,10.5,14.5,4300
減塩味噌,192,10.8,5.7,24.5,4100
合わせ味噌,194,13.2,5.7,22.4,5600
辛子酢味噌,221,5.0,2.1,44.6,1300
胡麻味噌,258,9.4,9.9,32.9,1600
酢味噌,216,4.9,1.5,44.8,1200
練り味噌,273,5.5,1.7,59.0,1400
カレールウ,512,6.5,34.1,44.7,4200
ハヤシルウ,512,5.8,33.2,47.5,4200
酒かす,227,14.9,1.5,23.8,5
みりん風調味料,226,0.1,0,54.9,68
オールスパイス,374,5.6,5.6,75.2,53
オニオンパウダー,364,8.8,1.1,79.8,52
和からし(粉),436,33.0,14.3,43.7,34
和からし(練り),315,5.9,14.5,40.1,2900
マスタード,174,4.8,10.6,13.1,1200
粒入りマスタード,229,7.6,16.0,12.7,1600
カレー粉,415,13.0,12.2,63.3,40
クローブ,417,7.2,13.6,66.4,280
黒コショウ,364,11.0,6.0,66.6,65
白コショウ,378,10.1,6.4,70.1,4
山椒,375,10.3,6.2,69.6,10
シナモン,364,3.6,3.5,79.6,23
おろし生姜,43,0.7,0.6,8.6,580
セージ,384,6.4,10.1,66.9,120
タイム,352,6.5,5.2,69.8,13
チリパウダー,374,15.0,8.2,60.1,2500
唐辛子粉,419,16.2,9.7,66.8,4
ナツメグ,559,5.7,38.5,47.5,15
ガーリックパウダー,382,19.9,0.8,73.8,18
おろしニンニク,171,4.7,0.5,37.0,1800
バジル(乾),307,21.1,2.2,50.6,59
パセリ(乾),341,28.7,2.2,51.6,880
パプリカ(乾),389,15.5,11.6,55.6,60
わさび(粉),384,16.5,4.4,69.7,30
わさび(練り),265,3.3,10.3,39.8,2400
パン酵母(圧搾),103,16.5,1.5,12.1,39
パン酵母(乾燥),313,37.1,6.8,43.1,120
天ぷら用バッター,137,3.4,0.5,29.7,81
ベーキングパウダー,127,Tr,1.2,29.0,6800
ビーフカレー(レトルトパウチ),118,3.3,7.3,9.8,510
コーンクリームスープ(粉),425,8.1,13.7,67.4,2800
コーンクリームスープ(レトルト),86,2.0,4.8,8.6,280
ビーフカレー(レトルト),118,6.0,7.2,7.4,290
